RID,Name,Gender,Chinese,Math,Total
1,,M,96,96,192
2,,F,95.5,95,190.5
3,,M,91,94,185
4,,F,92,100,192
5,,F,96.5,92,188.5
6,,M,92.5,94,186.5
7,,F,90,95,185
8,,M,0,0,0
9,,F,94.5,90,184.5
10,,F,83,95,178
11,,F,84,93,177
12,,F,96,85,181
13,,F,94,89,183
14,,F,86.5,95,181.5
15,,M,87,96,183
16,,F,92,94,186
17,,M,80,100,180
18,,F,95,89,184
19,,M,2,87,89
20,,F,76,95,171
21,,M,77,93,170
22,,M,87,98,185
23,,F,82,95,177
24,,M,84,86,170
25,,M,84.5,95,179.5
26,,F,73.5,89,162.5
27,,F,70,89,159
28,,M,71,67,138
29,,M,71,72,143
30,,M,57,84,141
31,,M,74,68,142
32,,F,60,61,121
33,,M,65,68,133
34,,F,71.5,75,146.5
35,,M,81,88,169
36,,M,75.5,80,155.5
37,,F,74,82,156
38,,M,78,88,166
39,,M,65.5,76,141.5
40,,F,82.5,80,162.5
41,,F,80,88,168
42,,M,69,92,161
43,,F,83,94,177
44,,M,77,89,166
45,,F,62,76,138
46,,M,55,43,98
47,,M,41,61,102
48,,F,60,65,125
49,,M,1,24,25
