RID,Name,Gender,Chinese,Math,Total,,,
1,,M,0,0,0,,,
2,,F,93,94,187,,,
3,,M,92.5,91,183.5,,,
4,,F,95.5,99,194.5,,,
5,,F,94,93,187,,,
6,,M,90,87,177,,,
7,,F,93,92,185,,,
8,,M,91,91,182,,,
9,,F,89,91,180,,,
10,,F,84.5,92,176.5,,,
11,,F,86,90,176,,,
12,,F,92.5,83,175.5,,,
13,,F,96,88,184,,,
14,,F,97,96,193,,,
15,,M,89,92,181,,,
16,,F,86.5,88,174.5,,,
17,,M,85,96,181,,,
18,,F,93,92,185,,,
19,,M,81.5,91,172.5,,,
20,,F,78.5,93,171.5,,,
21,,M,83,97,180,,,
22,,M,85,97,182,,,
23,,F,88,93,181,,,
24,,M,79,89,168,,,
25,,M,81.5,91,172.5,,,
26,,F,70.5,85,155.5,,,
27,,F,72,89,161,,,
28,,M,69,71,140,,,
29,,M,73.5,76,149.5,,,
30,,M,60,88,148,,,
31,,M,77,74,151,,,
32,,F,64,65,129,,,
33,,M,69,73,142,,,
34,,F,71.5,81,152.5,,,
35,,M,79,89,168,,,
36,,M,81,85,166,,,
37,,F,78,84,162,,,
38,,M,82.5,87,169.5,,,
39,,M,61,82,143,,,
40,,F,80.5,72,152.5,,,
41,,F,83,89,172,,,
42,,M,74,85,159,,,
43,,F,77,95,172,,,
44,,M,83,92,175,,,
45,,F,66,82,148,,,
46,,M,47,61,108,,,
47,,M,49,67,116,,,
48,,F,68,77,145,,,
49,,M,15,30,45,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
