RID,Name,Gender,Chinese,Math,Total,,,,,,,,
1,,M,54,51,105,,,,,,,,
2,,F,91,99,190,,,,,,,,
3,,F,88.5,86,174.5,,,,,,,,
4,,F,71,89,160,,,,,,,,
5,,F,83.5,95,178.5,,,,,,,,
6,,M,69,82,151,,,,,,,,
7,,M,63.5,74,137.5,,,,,,,,
8,,M,71,83,154,,,,,,,,
9,,F,85,79,164,,,,,,,,
10,,M,88,91,179,,,,,,,,
11,,F,69,73,142,,,,,,,,
12,,F,72.5,72,144.5,,,,,,,,
13,,F,61,69,130,,,,,,,,
14,,M,82,86,168,,,,,,,,
15,,F,58,60,118,,,,,,,,
16,,F,28,36,64,,,,,,,,
17,,M,66,79,145,,,,,,,,
18,,F,51,63,114,,,,,,,,
19,,M,80,87,167,,,,,,,,
20,,F,65.5,67,132.5,,,,,,,,
21,,F,76,84,160,,,,,,,,
22,,F,35,51,86,,,,,,,,
23,,F,84.5,91,175.5,,,,,,,,
24,,M,79,81,160,,,,,,,,
25,,F,77,74,151,,,,,,,,
26,,M,68,82,150,,,,,,,,
27,,M,60,65,125,,,,,,,,
28,,F,77.5,89,166.5,,,,,,,,
29,,F,82,90,172,,,,,,,,
30,,F,70,87,157,,,,,,,,
31,,M,91,94,185,,,,,,,,
32,,M,81,86,167,,,,,,,,
33,,F,75.5,90,165.5,,,,,,,,
34,,M,83.5,98,181.5,,,,,,,,
35,,M,62,71,133,,,,,,,,
36,,M,67,88,155,,,,,,,,
37,,F,49,57,106,,,,,,,,
38,,M,67,79,146,,,,,,,,
39,,M,90,96,186,,,,,,,,
40,,F,88.5,95,183.5,,,,,,,,
41,,M,83,84,167,,,,,,,,
42,,F,79,78,157,,,,,,,,
43,,M,73.5,85,158.5,,,,,,,,
44,,M,71,79,150,,,,,,,,
45,,F,86.5,95,181.5,,,,,,,,
46,,M,67.5,86,153.5,,,,,,,,
47,,M,76,85,161,,,,,,,,
48,,M,64.5,67,131.5,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
