RID,Name,Gender,Chinese,Math,Total,,
1,,M,74,85,159,,
2,,M,95.5,87,182.5,,
3,,F,85.5,79,164.5,,
4,,F,80,94,174,,
5,,M,90.5,93,183.5,,
6,,F,82,87,169,,
7,,M,95,95,190,,
8,,M,53,46,99,,
9,,M,89.5,90,179.5,,
10,,F,96,98,194,,
11,,M,60,79,139,,
12,,M,44,66,110,,
13,,M,82,88,170,,
14,,F,79,89,168,,
15,,M,37,43,80,,
16,,M,81.5,90,171.5,,
17,,M,96,90,186,,
18,,M,40,38,78,,
19,,M,84.5,92,176.5,,
20,,M,91,99,190,,
21,,M,89,97,186,,
22,,F,92.5,97,189.5,,
23,,F,89,91,180,,
24,,M,87.5,95,182.5,,
25,,F,81,85,166,,
26,,F,83,96,179,,
27,,M,78.5,91,169.5,,
28,,F,79,93,172,,
29,,M,86,96,182,,
30,,M,87.5,88,175.5,,
31,,M,90,94,184,,
32,,F,55,69,124,,
33,,F,78,81,159,,
34,,F,81,86,167,,
35,,M,89,94,183,,
36,,F,91,86,177,,
37,,M,84,81,165,,
38,,F,0,50,50,,
39,,F,87,95,182,,
40,,F,91,89,180,,
41,,M,0,0,0,,
42,,F,89,88,177,,
43,,F,81,95,176,,
44,,F,63.5,77,140.5,,
45,,F,70,79,149,,
46,,F,84.5,91,175.5,,
47,,F,60,82,142,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
